MouseID,ExpDate,en,ProbeName,imec,epoch,InitDepth,clusterID,Amp (uV),SpikeN,posX,posY,peakt,ClusterDepth (um),CCFName,CCFAcronym,CCFColor,Peak (uV),Trough (uV),PTratio,Duration (ms),Footprint (um),artefacts,label,new_label
ZYE_0007,09/23/2020,1,p1,0,2,200,3,83,11390,1,18,42,598,Primary visual area layer 5,VISp5,08858C,26.1,-57.2,0.5,0.27,23,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,4,107,114,8,18,41,598,Primary visual area layer 5,VISp5,08858C,32.4,-74.6,0.4,0.6,36,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,5,186,2683,8,21,41,580,Primary visual area layer 5,VISp5,08858C,66.8,-119.5,0.6,0.47,42,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,11,184,179,1,33,42,508,Primary visual area layer 4,VISp4,08858C,58.9,-125.5,0.5,0.43,40,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,18,90,7824,8,38,41,478,Primary visual area layer 4,VISp4,08858C,78.1,-11.7,6.7,0.27,11,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,19,475,450,8,38,42,478,Primary visual area layer 4,VISp4,08858C,186.5,-288.4,0.6,0.17,57,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,20,97,2129,7,39,41,472,Primary visual area layer 4,VISp4,08858C,26.5,-70,0.4,0.23,12,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,21,126,195,4,44,44,442,Primary visual area layer 4,VISp4,08858C,27.4,-98.2,0.3,0.7,62,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,23,102,3893,8,42,36,454,Primary visual area layer 4,VISp4,08858C,53.8,-47.9,1.1,0.7,33,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,25,100,5037,6,47,42,424,posteromedial visual area layer 4,VISpm4,08858C,29.5,-70.9,0.4,0.77,31,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,26,141,1336,1,46,41,430,posteromedial visual area layer 4,VISpm4,08858C,44.1,-97.4,0.5,0.67,31,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,2,200,29,77,3340,1,9,41,652,Primary visual area layer 5,VISp5,08858C,17,-60.2,0.3,0.97,31,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,0,236,2406,3,6,40,920,Primary visual area layer 6a,VISp6a,08858C,64,-171.7,0.4,0.67,69,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,13,653,2965,7,6,42,920,Primary visual area layer 6a,VISp6a,08858C,128.4,-525,0.2,0.73,49,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,16,363,3149,1,5,42,926,Primary visual area layer 6a,VISp6a,08858C,104.7,-258.2,0.4,0.6,53,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,18,575,5956,6,6,42,920,Primary visual area layer 6a,VISp6a,08858C,107.4,-467.3,0.2,0.8,48,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,21,518,493,6,4,43,932,Primary visual area layer 6a,VISp6a,08858C,110.7,-407.2,0.3,0.8,50,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,25,333,183,1,8,42,908,Primary visual area layer 6a,VISp6a,08858C,90.7,-242.4,0.4,0.67,51,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,27,738,391,6,6,43,920,Primary visual area layer 6a,VISp6a,08858C,140,-598.1,0.2,0.67,59,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,32,302,4706,1,9,41,902,Primary visual area layer 6a,VISp6a,08858C,79,-223.3,0.4,0.7,48,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,33,138,4543,8,14,43,872,Primary visual area layer 6a,VISp6a,08858C,38.9,-98.7,0.4,0.67,58,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,34,238,2253,8,22,41,824,Primary visual area layer 5,VISp5,08858C,63.7,-174.5,0.4,0.67,87,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,36,812,1183,1,16,35,860,Primary visual area layer 5,VISp5,08858C,157.3,-654.9,0.2,0.7,74,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,39,391,1494,1,15,42,866,Primary visual area layer 5,VISp5,08858C,82.4,-308.3,0.3,0.67,56,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,41,789,1589,1,16,42,860,Primary visual area layer 5,VISp5,08858C,147.4,-642.1,0.2,0.67,70,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,43,198,475,1,16,42,860,Primary visual area layer 5,VISp5,08858C,57.4,-140.3,0.4,0.7,63,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,44,752,249,1,16,43,860,Primary visual area layer 5,VISp5,08858C,142.9,-608.9,0.2,0.67,72,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,49,292,5149,5,21,40,830,Primary visual area layer 5,VISp5,08858C,80.1,-212.2,0.4,0.53,79,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,50,526,548,1,19,42,842,Primary visual area layer 5,VISp5,08858C,126.2,-399.4,0.3,0.57,100,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,51,267,3908,1,8,44,908,Primary visual area layer 6a,VISp6a,08858C,62.6,-204.2,0.3,0.67,91,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,52,81,20086,1,23,42,818,Primary visual area layer 5,VISp5,08858C,23.8,-57.7,0.4,0.97,31,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,54,305,5629,5,22,42,824,Primary visual area layer 5,VISp5,08858C,71.3,-234,0.3,0.57,80,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,56,145,2844,8,15,42,866,Primary visual area layer 5,VISp5,08858C,41,-103.6,0.4,0.6,58,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,58,242,14346,7,25,42,806,Primary visual area layer 5,VISp5,08858C,68.2,-174.2,0.4,0.2,42,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,62,356,4934,7,25,44,806,Primary visual area layer 5,VISp5,08858C,111.9,-244.5,0.5,0.2,44,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,64,514,586,1,19,43,842,Primary visual area layer 5,VISp5,08858C,119.1,-394.8,0.3,0.57,113,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,65,328,592,5,26,42,800,Primary visual area layer 5,VISp5,08858C,123.3,-204.7,0.6,0.2,41,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,69,266,2429,1,25,43,806,Primary visual area layer 5,VISp5,08858C,67.9,-197.8,0.3,0.6,80,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,71,373,730,1,30,41,776,Primary visual area layer 5,VISp5,08858C,102.3,-270.9,0.4,0.57,71,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,75,162,2295,4,31,43,770,Primary visual area layer 5,VISp5,08858C,47.1,-115.1,0.4,0.6,70,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,79,830,589,3,35,41,746,Primary visual area layer 5,VISp5,08858C,151.9,-678,0.2,0.4,55,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,80,839,526,3,35,42,746,Primary visual area layer 5,VISp5,08858C,147.6,-691.4,0.2,0.47,51,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,93,95,1286,1,43,42,698,Primary visual area layer 5,VISp5,08858C,26.3,-68.4,0.4,0.53,27,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,98,133,6426,8,15,42,866,Primary visual area layer 5,VISp5,08858C,33.6,-99.2,0.3,0.63,49,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,99,208,329,1,6,42,920,Primary visual area layer 6a,VISp6a,08858C,59.5,-148.7,0.4,0.87,64,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,101,520,502,1,18,41,848,Primary visual area layer 5,VISp5,08858C,105.9,-413.7,0.3,0.57,114,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,103,264,2146,1,24,41,812,Primary visual area layer 5,VISp5,08858C,74.8,-189,0.4,0.57,82,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,107,206,648,8,23,42,818,Primary visual area layer 5,VISp5,08858C,68.8,-137.2,0.5,0.2,55,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,108,252,2777,2,18,42,848,Primary visual area layer 5,VISp5,08858C,61,-190.9,0.3,0.63,79,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,110,166,1133,1,32,42,764,Primary visual area layer 5,VISp5,08858C,51.8,-114.6,0.5,0.53,52,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,114,770,401,3,35,43,746,Primary visual area layer 5,VISp5,08858C,132.2,-638.3,0.2,0.43,52,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,115,101,2311,8,36,42,740,Primary visual area layer 5,VISp5,08858C,35.5,-65,0.5,0.4,28,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,119,71,2316,3,44,42,692,Primary visual area layer 5,VISp5,08858C,18,-53.3,0.3,0.47,24,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,121,243,2312,3,6,42,920,Primary visual area layer 6a,VISp6a,08858C,64.9,-178.1,0.4,0.63,73,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,122,272,3053,3,19,42,842,Primary visual area layer 5,VISp5,08858C,73.1,-199.3,0.4,0.63,79,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,125,250,426,8,23,42,818,Primary visual area layer 5,VISp5,08858C,62.2,-187.6,0.3,0.5,93,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,128,498,862,3,35,42,746,Primary visual area layer 5,VISp5,08858C,85.8,-412.3,0.2,0.7,46,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,131,173,2759,1,6,43,920,Primary visual area layer 6a,VISp6a,08858C,74.3,-98.7,0.8,0.73,122,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,133,122,3458,3,9,41,902,Primary visual area layer 6a,VISp6a,08858C,28.7,-93.4,0.3,0.6,96,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,139,134,375,8,11,41,890,Primary visual area layer 6a,VISp6a,08858C,46.7,-87,0.5,0.73,39,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,140,147,665,8,11,42,890,Primary visual area layer 6a,VISp6a,08858C,41.1,-105.8,0.4,0.57,40,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,141,264,4740,1,16,42,860,Primary visual area layer 5,VISp5,08858C,76.9,-187.5,0.4,0.7,62,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,142,227,1093,1,25,42,806,Primary visual area layer 5,VISp5,08858C,67,-159.7,0.4,0.53,92,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,143,377,592,1,31,42,770,Primary visual area layer 5,VISp5,08858C,101,-276.2,0.4,0.53,71,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,3,200,150,276,472,4,13,44,878,Primary visual area layer 6a,VISp6a,08858C,59.5,-216.8,0.3,0.57,106,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,4,200,17,91,954,1,48,41,918,Primary visual area layer 6a,VISp6a,08858C,18,-73.3,0.2,0.67,36,0,VIS,VIS
ZYE_0007,09/23/2020,1,p1,0,5,200,4,401,283,8,5,42,1426,corpus callosum,cc,CCCCCC,85.7,-314.9,0.3,0.63,97,0,cc,cc
ZYE_0007,09/23/2020,1,p1,0,5,200,5,208,706,1,8,42,1408,corpus callosum,cc,CCCCCC,40,-167.7,0.2,0.77,59,0,cc,cc
ZYE_0007,09/23/2020,1,p1,0,5,200,6,85,16182,1,13,42,1378,corpus callosum,cc,CCCCCC,32.7,-52.1,0.6,0.43,42,0,cc,cc
ZYE_0007,09/23/2020,1,p1,0,5,200,18,80,3253,1,2,41,1444,dorsal hippocampal commissure,dhc,CCCCCC,25.3,-55.1,0.5,0.6,32,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,5,200,26,98,1313,1,10,42,1396,corpus callosum,cc,CCCCCC,30.8,-67.6,0.5,0.37,43,0,cc,cc
ZYE_0007,09/23/2020,1,p1,0,5,200,28,80,1519,8,22,36,1324,corpus callosum,cc,CCCCCC,23.4,-56.3,0.4,0.6,25,0,cc,cc
ZYE_0007,09/23/2020,1,p1,0,5,200,33,87,825,8,1,41,1450,dorsal hippocampal commissure,dhc,CCCCCC,21,-66.2,0.3,0.8,47,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,6,200,6,294,16993,1,19,42,1592,Subiculum,SUB,4FC244,76.2,-217.4,0.4,0.53,55,0,SUB,SUB
ZYE_0007,09/23/2020,1,p1,0,6,200,7,582,457,8,19,40,1592,Subiculum,SUB,4FC244,122.7,-459.6,0.3,0.57,60,0,SUB,SUB
ZYE_0007,09/23/2020,1,p1,0,6,200,10,247,8644,6,31,42,1520,Subiculum,SUB,4FC244,70.7,-176.7,0.4,0.67,60,0,SUB,SUB
ZYE_0007,09/23/2020,1,p1,0,6,200,17,174,459,8,33,42,1508,Subiculum,SUB,4FC244,37.5,-136.7,0.3,0.73,46,0,SUB,SUB
ZYE_0007,09/23/2020,1,p1,0,6,200,19,200,475,1,34,42,1502,dorsal hippocampal commissure,dhc,CCCCCC,46.7,-153.2,0.3,0.8,49,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,6,200,20,112,5960,1,34,42,1502,dorsal hippocampal commissure,dhc,CCCCCC,79.8,-32.6,2.5,0.4,25,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,6,200,22,235,996,1,36,41,1490,dorsal hippocampal commissure,dhc,CCCCCC,72.5,-162.7,0.4,0.7,73,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,6,200,24,144,20435,1,41,41,1460,dorsal hippocampal commissure,dhc,CCCCCC,38.8,-105.1,0.4,0.7,34,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,6,200,26,346,5550,3,47,42,1424,corpus callosum,cc,CCCCCC,91,-255.4,0.4,0.6,37,0,cc,cc
ZYE_0007,09/23/2020,1,p1,0,6,200,27,730,886,4,48,42,1418,corpus callosum,cc,CCCCCC,218.2,-511.4,0.4,0.63,67,0,cc,cc
ZYE_0007,09/23/2020,1,p1,0,6,200,32,88,17162,2,14,42,1622,Subiculum,SUB,4FC244,27.2,-60.7,0.4,0.53,48,0,SUB,SUB
ZYE_0007,09/23/2020,1,p1,0,6,200,34,164,3013,8,24,41,1562,Subiculum,SUB,4FC244,27.9,-136,0.2,0.27,21,0,SUB,SUB
ZYE_0007,09/23/2020,1,p1,0,6,200,37,158,478,1,45,42,1436,dorsal hippocampal commissure,dhc,CCCCCC,43.1,-115,0.4,0.7,63,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,6,200,39,126,490,1,38,41,1478,dorsal hippocampal commissure,dhc,CCCCCC,40.1,-85.7,0.5,0.7,65,0,dhc,others
ZYE_0007,09/23/2020,1,p1,0,6,200,40,152,4480,1,41,41,1460,dorsal hippocampal commissure,dhc,CCCCCC,47.9,-104.2,0.5,0.77,59,0,dhc,others
ZYE_0007,09/23/2020,1,p1,1,1,335,1,56,10807,7,1,41,585,Primary motor area Layer 5,MOp5,1F9D5A,11.5,-44.2,0.3,1.13,31,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,2,251,686,6,2,42,579,Primary motor area Layer 5,MOp5,1F9D5A,86.7,-164.1,0.5,0.2,56,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,3,91,2157,8,9,42,537,Primary motor area Layer 2/3,MOp2/3,1F9D5A,21.1,-70.3,0.3,0.77,46,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,4,76,6256,5,13,41,513,Primary motor area Layer 2/3,MOp2/3,1F9D5A,18.9,-56.8,0.3,0.9,28,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,6,54,7367,8,14,41,507,Primary motor area Layer 2/3,MOp2/3,1F9D5A,18.1,-36,0.5,0.9,16,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,9,103,3465,8,19,41,477,Primary motor area Layer 2/3,MOp2/3,1F9D5A,32.2,-70.7,0.5,0.8,39,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,10,110,2368,8,19,42,477,Primary motor area Layer 2/3,MOp2/3,1F9D5A,31,-79.2,0.4,0.27,27,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,14,149,503,8,38,43,363,Primary motor area Layer 2/3,MOp2/3,1F9D5A,42.1,-107.4,0.4,0.9,55,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,17,228,2924,8,42,41,339,Primary motor area Layer 2/3,MOp2/3,1F9D5A,69.3,-159.1,0.4,0.83,58,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,18,83,5241,1,43,43,333,Primary motor area Layer 2/3,MOp2/3,1F9D5A,22.3,-61,0.4,0.77,56,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,23,40,4531,8,7,42,549,Primary motor area Layer 5,MOp5,1F9D5A,12.8,-26.8,0.5,0.93,9,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,25,97,828,1,27,39,429,Primary motor area Layer 2/3,MOp2/3,1F9D5A,27.4,-70,0.4,0.77,44,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,26,46,10866,1,29,40,417,Primary motor area Layer 2/3,MOp2/3,1F9D5A,14.5,-31.2,0.5,1,9,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,27,71,381,2,36,42,375,Primary motor area Layer 2/3,MOp2/3,1F9D5A,24.6,-46.6,0.5,0.73,60,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,28,79,4522,3,42,46,339,Primary motor area Layer 2/3,MOp2/3,1F9D5A,19.9,-59.1,0.3,0.87,62,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,31,52,8330,1,27,40,429,Primary motor area Layer 2/3,MOp2/3,1F9D5A,16.1,-35.7,0.5,0.97,23,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,32,78,1570,8,36,42,375,Primary motor area Layer 2/3,MOp2/3,1F9D5A,25.2,-52.8,0.5,0.6,57,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,34,64,992,1,36,42,375,Primary motor area Layer 2/3,MOp2/3,1F9D5A,24,-40.3,0.6,0.63,42,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,37,222,352,1,22,41,459,Primary motor area Layer 2/3,MOp2/3,1F9D5A,57.5,-164,0.4,0.93,63,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,1,335,39,82,1189,1,16,42,495,Primary motor area Layer 2/3,MOp2/3,1F9D5A,24.6,-57.8,0.4,0.67,44,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,3,100,4929,4,5,42,811,Primary motor area Layer 5,MOp5,1F9D5A,23,-76.8,0.3,0.27,11,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,4,462,2211,8,7,42,799,Primary motor area Layer 5,MOp5,1F9D5A,129.3,-332.3,0.4,0.7,70,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,5,534,114,7,6,42,805,Primary motor area Layer 5,MOp5,1F9D5A,135.4,-398.3,0.3,0.7,72,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,7,89,35206,8,13,43,763,Primary motor area Layer 5,MOp5,1F9D5A,20.7,-68.1,0.3,0.67,25,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,9,364,74,8,20,42,721,Primary motor area Layer 5,MOp5,1F9D5A,113.6,-250,0.5,0.3,51,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,10,322,1659,8,23,42,703,Primary motor area Layer 5,MOp5,1F9D5A,92.6,-229.1,0.4,0.33,51,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,11,315,1888,8,23,41,703,Primary motor area Layer 5,MOp5,1F9D5A,99.5,-215.6,0.5,0.3,49,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,12,92,422,8,26,43,685,Primary motor area Layer 5,MOp5,1F9D5A,25.6,-66.3,0.4,0.83,49,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,14,120,538,1,30,40,661,Primary motor area Layer 5,MOp5,1F9D5A,41.8,-78.4,0.5,0.7,40,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,15,95,1298,8,33,41,643,Primary motor area Layer 5,MOp5,1F9D5A,21.6,-73.7,0.3,0.63,62,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,17,181,653,7,39,41,607,Primary motor area Layer 5,MOp5,1F9D5A,44.9,-136.2,0.3,0.67,68,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,18,87,9214,8,46,43,565,Primary motor area Layer 5,MOp5,1F9D5A,21.2,-65.5,0.3,1.2,35,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,19,176,5227,1,48,42,553,Primary motor area Layer 5,MOp5,1F9D5A,61.5,-114.3,0.5,0.67,63,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,20,97,1523,8,16,48,745,Primary motor area Layer 5,MOp5,1F9D5A,33.8,-62.8,0.5,0.83,25,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,21,119,1204,2,36,43,625,Primary motor area Layer 5,MOp5,1F9D5A,35.4,-83.1,0.4,0.7,62,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,23,108,4932,8,36,42,625,Primary motor area Layer 5,MOp5,1F9D5A,35.4,-72.7,0.5,0.77,120,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,27,216,2256,1,48,41,553,Primary motor area Layer 5,MOp5,1F9D5A,76.9,-139,0.6,0.53,83,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,28,135,1786,8,16,46,745,Primary motor area Layer 5,MOp5,1F9D5A,45.1,-89.5,0.5,0.63,34,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,30,176,494,6,40,42,601,Primary motor area Layer 5,MOp5,1F9D5A,41.9,-133.9,0.3,0.57,77,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,31,115,1242,1,46,41,565,Primary motor area Layer 5,MOp5,1F9D5A,36.1,-78.5,0.5,0.77,46,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,2,335,33,164,2355,1,46,41,565,Primary motor area Layer 5,MOp5,1F9D5A,52.3,-111.7,0.5,0.67,51,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,3,335,1,94,548,1,19,41,977,Primary motor area Layer 5,MOp5,1F9D5A,81.4,-13.1,6.2,0.23,11,0,MO,MO
ZYE_0007,09/23/2020,1,p1,1,3,335,2,159,2070,2,20,42,971,Primary motor area Layer 5,MOp5,1F9D5A,38.3,-121,0.3,0.33,8,0,MO,MO
