MouseID,ExpDate,en,ProbeName,imec,epoch,InitDepth,clusterID,amp,SpikeN,posX,posY,peakt,ClusterDepth,peak,trough,PTratio,Sign,footprint,duration,CCFAcronym,CCFName,CCFColor,label,new_label,index,unique_list,artefacts,new_add,delete,keep
ZYE_0007,9/23/2020,1,p1,0,2,200,2,57,2746,1,13,43,628,21.3,-36,0.6,1,12,0.83,VISp5,Primary visual area layer 5,08858C,VIS,VIS,20,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,3,83,11390,1,18,42,598,26.1,-57.2,0.5,1,23,0.27,VISp5,Primary visual area layer 5,08858C,VIS,VIS,21,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,4,107,114,8,18,41,598,32.4,-74.6,0.4,1,36,0.6,VISp5,Primary visual area layer 5,08858C,VIS,VIS,22,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,5,186,2683,8,21,41,580,66.8,-119.5,0.6,1,42,0.47,VISp4,Primary visual area layer 4,08858C,VIS,VIS,23,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,11,184,179,1,33,42,508,58.9,-125.5,0.5,1,40,0.43,VISp4,Primary visual area layer 4,08858C,VIS,VIS,24,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,18,90,7824,8,38,41,478,78.1,-11.7,6.7,0,18,0.77,VISp4,Primary visual area layer 4,08858C,VIS,VIS,25,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,19,475,450,8,38,42,478,186.5,-288.4,0.6,1,57,0.17,VISp4,Primary visual area layer 4,08858C,VIS,VIS,26,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,20,97,2129,7,39,41,472,26.5,-70,0.4,1,12,0.23,VISp4,Primary visual area layer 4,08858C,VIS,VIS,27,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,21,126,195,4,44,44,442,27.4,-98.2,0.3,1,62,0.7,VISp4,Primary visual area layer 4,08858C,VIS,VIS,28,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,23,102,3893,8,42,36,454,53.8,-47.9,1.1,0,27,0.2,VISp4,Primary visual area layer 4,08858C,VIS,VIS,29,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,25,100,5037,6,47,42,424,29.5,-70.9,0.4,1,31,0.77,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,30,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,26,141,1336,1,46,41,430,44.1,-97.4,0.5,1,31,0.67,VISpm2/3,posteromedial visual area layer 2/3,08858C,VIS,VIS,31,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,2,200,29,77,3340,1,9,41,652,17,-60.2,0.3,1,31,0.97,VISp5,Primary visual area layer 5,08858C,VIS,VIS,32,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,0,236,2406,3,6,40,920,64,-171.7,0.4,1,69,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,33,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,13,653,2965,7,6,42,920,128.4,-525,0.2,1,49,0.73,VISp5,Primary visual area layer 5,08858C,VIS,VIS,34,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,16,363,3149,1,5,42,926,104.7,-258.2,0.4,1,53,0.6,VISp6a,Primary visual area layer 6a,08858C,VIS,VIS,35,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,18,575,5956,6,6,42,920,107.4,-467.3,0.2,1,48,0.8,VISp5,Primary visual area layer 5,08858C,VIS,VIS,36,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,21,518,493,6,4,43,932,110.7,-407.2,0.3,1,50,0.8,VISp6a,Primary visual area layer 6a,08858C,VIS,VIS,37,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,25,333,183,1,8,42,908,90.7,-242.4,0.4,1,51,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,38,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,27,738,391,6,6,43,920,140,-598.1,0.2,1,59,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,39,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,32,302,4706,1,9,41,902,79,-223.3,0.4,1,48,0.7,VISp5,Primary visual area layer 5,08858C,VIS,VIS,40,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,33,138,4543,8,14,43,872,38.9,-98.7,0.4,1,58,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,41,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,34,238,2253,8,22,41,824,63.7,-174.5,0.4,1,87,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,42,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,36,812,1183,1,16,35,860,157.3,-654.9,0.2,1,74,0.7,VISp5,Primary visual area layer 5,08858C,VIS,VIS,43,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,39,391,1494,1,15,42,866,82.4,-308.3,0.3,1,56,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,44,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,41,789,1589,1,16,42,860,147.4,-642.1,0.2,1,70,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,45,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,43,198,475,1,16,42,860,57.4,-140.3,0.4,1,63,0.7,VISp5,Primary visual area layer 5,08858C,VIS,VIS,46,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,44,752,249,1,16,43,860,142.9,-608.9,0.2,1,72,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,47,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,49,292,5149,5,21,40,830,80.1,-212.2,0.4,1,79,0.53,VISp5,Primary visual area layer 5,08858C,VIS,VIS,48,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,50,526,548,1,19,42,842,126.2,-399.4,0.3,1,100,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,49,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,51,267,3908,1,8,44,908,62.6,-204.2,0.3,1,91,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,50,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,52,81,20086,1,23,42,818,23.8,-57.7,0.4,1,31,0.97,VISp5,Primary visual area layer 5,08858C,VIS,VIS,51,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,54,305,5629,5,22,42,824,71.3,-234,0.3,1,80,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,52,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,56,145,2844,8,15,42,866,41,-103.6,0.4,1,58,0.6,VISp5,Primary visual area layer 5,08858C,VIS,VIS,53,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,58,242,14346,7,25,42,806,68.2,-174.2,0.4,1,42,0.2,VISp5,Primary visual area layer 5,08858C,VIS,VIS,54,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,62,356,4934,7,25,44,806,111.9,-244.5,0.5,1,44,0.2,VISp5,Primary visual area layer 5,08858C,VIS,VIS,55,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,64,514,586,1,19,43,842,119.1,-394.8,0.3,1,113,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,56,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,65,328,592,5,26,42,800,123.3,-204.7,0.6,1,41,0.2,VISp5,Primary visual area layer 5,08858C,VIS,VIS,57,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,69,266,2429,1,25,43,806,67.9,-197.8,0.3,1,80,0.6,VISp5,Primary visual area layer 5,08858C,VIS,VIS,58,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,71,373,730,1,30,41,776,102.3,-270.9,0.4,1,71,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,59,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,75,162,2295,4,31,43,770,47.1,-115.1,0.4,1,70,0.6,VISp5,Primary visual area layer 5,08858C,VIS,VIS,60,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,79,830,589,3,35,41,746,151.9,-678,0.2,1,55,0.4,VISp5,Primary visual area layer 5,08858C,VIS,VIS,61,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,80,839,526,3,35,42,746,147.6,-691.4,0.2,1,51,0.47,VISp5,Primary visual area layer 5,08858C,VIS,VIS,62,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,93,95,1286,1,43,42,698,26.3,-68.4,0.4,1,27,0.53,VISp5,Primary visual area layer 5,08858C,VIS,VIS,63,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,98,133,6426,8,15,42,866,33.6,-99.2,0.3,1,49,0.63,VISp5,Primary visual area layer 5,08858C,VIS,VIS,64,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,99,208,329,1,6,42,920,59.5,-148.7,0.4,1,64,0.87,VISp5,Primary visual area layer 5,08858C,VIS,VIS,65,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,101,520,502,1,18,41,848,105.9,-413.7,0.3,1,114,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,66,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,103,264,2146,1,24,41,812,74.8,-189,0.4,1,82,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,67,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,107,206,648,8,23,42,818,68.8,-137.2,0.5,1,55,0.2,VISp5,Primary visual area layer 5,08858C,VIS,VIS,68,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,108,252,2777,2,18,42,848,61,-190.9,0.3,1,79,0.63,VISp5,Primary visual area layer 5,08858C,VIS,VIS,69,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,110,166,1133,1,32,42,764,51.8,-114.6,0.5,1,52,0.53,VISp5,Primary visual area layer 5,08858C,VIS,VIS,70,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,114,770,401,3,35,43,746,132.2,-638.3,0.2,1,52,0.43,VISp5,Primary visual area layer 5,08858C,VIS,VIS,71,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,115,101,2311,8,36,42,740,35.5,-65,0.5,1,28,0.4,VISp5,Primary visual area layer 5,08858C,VIS,VIS,72,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,119,71,2316,3,44,42,692,18,-53.3,0.3,1,24,0.47,VISp5,Primary visual area layer 5,08858C,VIS,VIS,73,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,121,243,2312,3,6,42,920,64.9,-178.1,0.4,1,73,0.63,VISp5,Primary visual area layer 5,08858C,VIS,VIS,74,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,122,272,3053,3,19,42,842,73.1,-199.3,0.4,1,79,0.63,VISp5,Primary visual area layer 5,08858C,VIS,VIS,75,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,125,250,426,8,23,42,818,62.2,-187.6,0.3,1,93,0.5,VISp5,Primary visual area layer 5,08858C,VIS,VIS,76,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,128,498,862,3,35,42,746,85.8,-412.3,0.2,1,46,0.7,VISp5,Primary visual area layer 5,08858C,VIS,VIS,77,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,131,173,2759,1,6,43,920,74.3,-98.7,0.8,1,122,0.73,VISp5,Primary visual area layer 5,08858C,VIS,VIS,78,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,133,122,3458,3,9,41,902,28.7,-93.4,0.3,1,96,0.6,VISp5,Primary visual area layer 5,08858C,VIS,VIS,79,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,139,134,375,8,11,41,890,46.7,-87,0.5,1,39,0.73,VISp5,Primary visual area layer 5,08858C,VIS,VIS,80,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,140,147,665,8,11,42,890,41.1,-105.8,0.4,1,40,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,81,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,141,264,4740,1,16,42,860,76.9,-187.5,0.4,1,62,0.7,VISp5,Primary visual area layer 5,08858C,VIS,VIS,82,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,142,227,1093,1,25,42,806,67,-159.7,0.4,1,92,0.53,VISp5,Primary visual area layer 5,08858C,VIS,VIS,83,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,143,377,592,1,31,42,770,101,-276.2,0.4,1,71,0.53,VISp5,Primary visual area layer 5,08858C,VIS,VIS,84,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,3,200,150,276,472,4,13,44,878,59.5,-216.8,0.3,1,106,0.57,VISp5,Primary visual area layer 5,08858C,VIS,VIS,85,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,4,200,17,91,954,1,48,41,918,18,-73.3,0.2,1,36,0.67,VISp5,Primary visual area layer 5,08858C,VIS,VIS,86,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,5,200,4,401,283,8,5,42,1426,85.7,-314.9,0.3,1,97,0.63,cc,corpus callosum,CCCCCC,cc,cc,87,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,5,200,5,208,706,1,8,42,1408,40,-167.7,0.2,1,59,0.77,cc,corpus callosum,CCCCCC,cc,cc,88,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,5,200,6,85,16182,1,13,42,1378,32.7,-52.1,0.6,1,42,0.43,cc,corpus callosum,CCCCCC,cc,cc,89,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,5,200,18,80,3253,1,2,41,1444,25.3,-55.1,0.5,1,32,0.6,fp,corpus callosum posterior forceps,CCCCCC,fp,others,90,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,5,200,26,98,1313,1,10,42,1396,30.8,-67.6,0.5,1,43,0.37,cc,corpus callosum,CCCCCC,cc,cc,91,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,5,200,28,80,1519,8,22,36,1324,23.4,-56.3,0.4,1,25,0.6,cc,corpus callosum,CCCCCC,cc,cc,92,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,5,200,33,87,825,8,1,41,1450,21,-66.2,0.3,1,47,0.8,fp,corpus callosum posterior forceps,CCCCCC,fp,others,93,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,6,294,16993,1,19,42,1592,76.2,-217.4,0.4,1,55,0.53,ProS,Prosubiculum,58BA48,ProS,others,94,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,7,582,457,8,19,40,1592,122.7,-459.6,0.3,1,60,0.57,ProS,Prosubiculum,58BA48,ProS,others,95,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,10,247,8644,6,31,42,1520,70.7,-176.7,0.4,1,60,0.67,ProS,Prosubiculum,58BA48,ProS,others,96,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,17,174,459,8,33,42,1508,37.5,-136.7,0.3,1,46,0.73,ProS,Prosubiculum,58BA48,ProS,others,97,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,19,200,475,1,34,42,1502,46.7,-153.2,0.3,1,49,0.8,alv,alveus,CCCCCC,alv,others,98,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,20,112,5960,1,34,42,1502,79.8,-32.6,2.5,0,38,0.3,alv,alveus,CCCCCC,alv,others,99,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,22,235,996,1,36,41,1490,72.5,-162.7,0.4,1,73,0.7,alv,alveus,CCCCCC,alv,others,100,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,24,144,20435,1,41,41,1460,38.8,-105.1,0.4,1,34,0.7,fp,corpus callosum posterior forceps,CCCCCC,fp,others,101,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,26,346,5550,3,47,42,1424,91,-255.4,0.4,1,37,0.6,cc,corpus callosum,CCCCCC,cc,cc,102,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,27,730,886,4,48,42,1418,218.2,-511.4,0.4,1,67,0.63,cc,corpus callosum,CCCCCC,cc,cc,103,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,32,88,17162,2,14,42,1622,27.2,-60.7,0.4,1,48,0.53,ProS,Prosubiculum,58BA48,ProS,others,104,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,34,164,3013,8,24,41,1562,27.9,-136,0.2,1,21,0.27,ProS,Prosubiculum,58BA48,ProS,others,105,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,37,158,478,1,45,42,1436,43.1,-115,0.4,1,63,0.7,fp,corpus callosum posterior forceps,CCCCCC,fp,others,106,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,39,126,490,1,38,41,1478,40.1,-85.7,0.5,1,65,0.7,fp,corpus callosum posterior forceps,CCCCCC,fp,others,107,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,0,6,200,40,152,4480,1,41,41,1460,47.9,-104.2,0.5,1,59,0.77,fp,corpus callosum posterior forceps,CCCCCC,fp,others,108,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,1,56,10807,7,1,41,585,11.5,-44.2,0.3,1,31,1.13,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,109,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,2,251,686,6,2,42,579,86.7,-164.1,0.5,1,56,0.2,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,110,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,3,91,2157,8,9,42,537,21.1,-70.3,0.3,1,46,0.77,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,111,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,4,76,6256,5,13,41,513,18.9,-56.8,0.3,1,28,0.9,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,112,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,6,54,7367,8,14,41,507,18.1,-36,0.5,1,16,0.9,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,113,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,9,103,3465,8,19,41,477,32.2,-70.7,0.5,1,39,0.8,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,114,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,10,110,2368,8,19,42,477,31,-79.2,0.4,1,27,0.27,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,115,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,14,149,503,8,38,43,363,42.1,-107.4,0.4,1,55,0.9,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,116,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,17,228,2924,8,42,41,339,69.3,-159.1,0.4,1,58,0.83,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,117,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,18,83,5241,1,43,43,333,22.3,-61,0.4,1,56,0.77,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,118,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,23,40,4531,8,7,42,549,12.8,-26.8,0.5,1,9,0.93,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,119,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,25,97,828,1,27,39,429,27.4,-70,0.4,1,44,0.77,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,120,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,26,46,10866,1,29,40,417,14.5,-31.2,0.5,1,9,1,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,121,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,27,71,381,2,36,42,375,24.6,-46.6,0.5,1,60,0.73,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,122,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,28,79,4522,3,42,46,339,19.9,-59.1,0.3,1,62,0.87,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,123,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,31,52,8330,1,27,40,429,16.1,-35.7,0.5,1,23,0.97,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,124,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,32,78,1570,8,36,42,375,25.2,-52.8,0.5,1,57,0.6,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,125,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,34,64,992,1,36,42,375,24,-40.3,0.6,1,42,0.63,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,126,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,37,222,352,1,22,41,459,57.5,-164,0.4,1,63,0.93,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,127,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,39,82,1189,1,16,42,495,24.6,-57.8,0.4,1,44,0.67,MOs2/3,Secondary motor area layer 2/3,1F9D5A,MO,MO,128,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,2,335,3,100,4929,4,5,42,811,23,-76.8,0.3,1,11,0.27,MOs5,Secondary motor area layer 5,1F9D5A,MO,MO,129,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,2,335,4,462,2211,8,7,42,799,129.3,-332.3,0.4,1,70,0.7,MOs5,Secondary motor area layer 5,1F9D5A,MO,MO,130,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,2,335,5,534,114,7,6,42,805,135.4,-398.3,0.3,1,72,0.7,MOs5,Secondary motor area layer 5,1F9D5A,MO,MO,131,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,2,335,7,89,35206,8,13,43,763,20.7,-68.1,0.3,1,25,0.67,MOs5,Secondary motor area layer 5,1F9D5A,MO,MO,132,1,0,0,0,1
ZYE_0007,9/23/2020,1,p1,1,2,335,9,364,74,8,20,42,721,113.6,-250,0.5,1,51,0.3,MOs5,Secondary motor area layer 5,1F9D5A,MO,MO,133,1,0,0,0,1
