MouseID,ExpDate,en,ProbeName,imec,epoch,InitDepth,clusterID,amp,SpikeN,posX,posY,peakt,ClusterDepth,CCFCoord_1,CCFCoord_2,CCFCoord_3,CCFName,CCFAcronym,CCFColor,peak,trough,PTratio,duration,footprint,label,artefacts,duration_AS
ZYE_0007,9/23/2020,1,p1,0,1,200,57,62,1235,3,22,41,324,26,155,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,15.34104,-46.36476,0.330877158,-0.1,24,VIS,0,0.23
ZYE_0007,9/23/2020,1,p1,0,1,200,60,91,798,5,25,42,306,25,156,187,posteromedial visual area layer 2/3,VISpm2/3,08858C,28.62756,-62.23464,0.459993984,0.17,26,VIS,0,0.17
ZYE_0007,9/23/2020,1,p1,0,1,200,62,60,9313,1,4,40,432,29,154,187,posteromedial visual area layer 4,VISpm4,08858C,13.20228,-46.60812,0.283261372,0.6,21,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,2,200,1,202,5772,7,5,42,676,39,150,188,Primary visual area layer 5,VISp5,08858C,39.25116,-163.04184,0.240742867,0.7,38,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,2,200,2,57,2746,1,13,43,628,37,151,187,Primary visual area layer 5,VISp5,08858C,21.3057,-36.0009,0.591810205,0.8,12,VIS,0,0.83
ZYE_0007,9/23/2020,1,p1,0,2,200,3,83,11390,1,18,42,598,36,151,187,Primary visual area layer 5,VISp5,08858C,26.11674,-57.23406,0.456314649,0.27,23,VIS,0,0.27
ZYE_0007,9/23/2020,1,p1,0,2,200,4,107,114,8,18,41,598,36,151,187,Primary visual area layer 5,VISp5,08858C,32.44644,-74.63196,0.434752618,0.6,36,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,2,200,5,186,2683,8,21,41,580,35,151,187,Primary visual area layer 5,VISp5,08858C,66.8187,-119.5155,0.559079785,0.47,42,VIS,0,0.47
ZYE_0007,9/23/2020,1,p1,0,2,200,11,184,179,1,33,42,508,32,153,187,Primary visual area layer 4,VISp4,08858C,58.91418,-125.54802,0.469256146,0.4,40,VIS,0,0.43
ZYE_0007,9/23/2020,1,p1,0,2,200,18,90,7824,8,38,41,478,31,153,187,Primary visual area layer 4,VISp4,08858C,78.0858,-11.7234,6.660678643,-0.77,11,VIS,0,0.27
ZYE_0007,9/23/2020,1,p1,0,2,200,19,475,450,8,38,42,478,31,153,187,Primary visual area layer 4,VISp4,08858C,186.51438,-288.43542,0.646641734,0.17,57,VIS,0,0.17
ZYE_0007,9/23/2020,1,p1,0,2,200,20,97,2129,7,39,41,472,31,153,187,Primary visual area layer 4,VISp4,08858C,26.54262,-69.98238,0.379275755,0.27,12,VIS,0,0.23
ZYE_0007,9/23/2020,1,p1,0,2,200,21,126,195,4,44,44,442,30,153,187,Primary visual area layer 4,VISp4,08858C,27.4014,-98.2098,0.279008816,0.67,62,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,2,200,23,102,3893,8,42,36,454,30,153,187,Primary visual area layer 4,VISp4,08858C,53.8434,-47.9466,1.122986823,-0.2,33,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,2,200,25,100,5037,6,47,42,424,29,154,187,posteromedial visual area layer 4,VISpm4,08858C,29.46996,-70.89264,0.415698442,0.77,31,VIS,0,0.77
ZYE_0007,9/23/2020,1,p1,0,2,200,26,141,1336,1,46,41,430,29,154,187,posteromedial visual area layer 4,VISpm4,08858C,44.0622,-97.4142,0.45231804,0.67,31,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,2,200,29,77,3340,1,9,41,652,38,150,187,Primary visual area layer 5,VISp5,08858C,17.01882,-60.22458,0.282589268,0.97,31,VIS,0,0.97
ZYE_0007,9/23/2020,1,p1,0,3,200,0,236,2406,3,6,40,920,47,146,188,Primary visual area layer 6a,VISp6a,08858C,64.0341,-171.6975,0.372947189,0.63,69,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,13,653,2965,7,6,42,920,47,146,188,Primary visual area layer 6a,VISp6a,08858C,128.38644,-525.03516,0.244529224,0.63,49,VIS,0,0.73
ZYE_0007,9/23/2020,1,p1,0,3,200,16,363,3149,1,5,42,926,48,146,188,Primary visual area layer 6a,VISp6a,08858C,104.66586,-258.19794,0.405370624,0.6,53,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,3,200,18,575,5956,6,6,42,920,47,146,188,Primary visual area layer 6a,VISp6a,08858C,107.35218,-467.28162,0.229737647,0.77,48,VIS,0,0.8
ZYE_0007,9/23/2020,1,p1,0,3,200,21,518,493,6,4,43,932,48,146,188,Primary visual area layer 6a,VISp6a,08858C,110.73348,-407.20212,0.271937386,0.83,50,VIS,0,0.8
ZYE_0007,9/23/2020,1,p1,0,3,200,25,333,183,1,8,42,908,47,146,188,Primary visual area layer 6a,VISp6a,08858C,90.72414,-242.39826,0.374277192,0.67,51,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,27,738,391,6,6,43,920,47,146,188,Primary visual area layer 6a,VISp6a,08858C,140.0256,-598.0806,0.234124966,0.73,59,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,32,302,4706,1,9,41,902,47,146,188,Primary visual area layer 6a,VISp6a,08858C,79.02414,-223.25706,0.353960318,0.7,48,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,3,200,33,138,4543,8,14,43,872,46,147,188,Primary visual area layer 6a,VISp6a,08858C,38.88378,-98.73162,0.3938331,0.67,58,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,34,238,2253,8,22,41,824,44,147,188,Primary visual area layer 5,VISp5,08858C,63.69246,-174.54294,0.364909976,0.67,87,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,36,812,1183,1,16,35,860,45,147,188,Primary visual area layer 5,VISp5,08858C,157.34394,-654.94026,0.240241667,0.73,74,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,3,200,39,391,1494,1,15,42,866,45,147,188,Primary visual area layer 5,VISp5,08858C,82.44756,-308.33244,0.267398267,0.6,56,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,41,789,1589,1,16,42,860,45,147,188,Primary visual area layer 5,VISp5,08858C,147.38724,-642.10536,0.22953747,0.7,70,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,43,198,475,1,16,42,860,45,147,188,Primary visual area layer 5,VISp5,08858C,57.3534,-140.2596,0.408908909,0.67,63,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,3,200,44,752,249,1,16,43,860,45,147,188,Primary visual area layer 5,VISp5,08858C,142.87338,-608.85162,0.234660425,0.7,72,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,49,292,5149,5,21,40,830,44,147,188,Primary visual area layer 5,VISp5,08858C,80.05842,-212.18418,0.377306263,0.53,79,VIS,0,0.53
ZYE_0007,9/23/2020,1,p1,0,3,200,50,526,548,1,19,42,842,44,147,188,Primary visual area layer 5,VISp5,08858C,126.21492,-399.37248,0.316033093,0.6,100,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,3,200,51,267,3908,1,8,44,908,47,146,188,Primary visual area layer 6a,VISp6a,08858C,62.62776,-204.20244,0.306694474,0.63,91,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,3,200,52,81,20086,1,23,42,818,43,148,188,Primary visual area layer 5,VISp5,08858C,23.76738,-57.66462,0.412165727,0.97,31,VIS,0,0.97
ZYE_0007,9/23/2020,1,p1,0,3,200,54,305,5629,5,22,42,824,44,147,188,Primary visual area layer 5,VISp5,08858C,71.253,-234.0234,0.304469553,0.57,80,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,3,200,56,145,2844,8,15,42,866,45,147,188,Primary visual area layer 5,VISp5,08858C,41.02956,-103.55904,0.396194866,0.57,58,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,3,200,58,242,14346,7,25,42,806,43,148,188,Primary visual area layer 5,VISp5,08858C,68.24844,-174.24576,0.391679201,0.23,42,VIS,0,0.2
ZYE_0007,9/23/2020,1,p1,0,3,200,62,356,4934,7,25,44,806,43,148,188,Primary visual area layer 5,VISp5,08858C,111.85434,-244.52766,0.457430215,0.2,44,VIS,0,0.2
ZYE_0007,9/23/2020,1,p1,0,3,200,64,514,586,1,19,43,842,44,147,188,Primary visual area layer 5,VISp5,08858C,119.07558,-394.78842,0.301618725,0.57,113,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,3,200,65,328,592,5,26,42,800,43,148,188,Primary visual area layer 5,VISp5,08858C,123.30864,-204.73596,0.602281299,0.2,41,VIS,0,0.2
ZYE_0007,9/23/2020,1,p1,0,3,200,69,266,2429,1,25,43,806,43,148,188,Primary visual area layer 5,VISp5,08858C,67.90446,-197.77914,0.343334793,0.63,80,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,3,200,71,373,730,1,30,41,776,42,148,188,Primary visual area layer 5,VISp5,08858C,102.31182,-270.91818,0.37764841,0.57,71,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,3,200,75,162,2295,4,31,43,770,41,149,188,Primary visual area layer 5,VISp5,08858C,47.10654,-115.10226,0.409258167,0.6,70,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,3,200,79,830,589,3,35,41,746,41,149,188,Primary visual area layer 5,VISp5,08858C,151.86132,-678.04308,0.223970017,0.4,55,VIS,0,0.4
ZYE_0007,9/23/2020,1,p1,0,3,200,80,839,526,3,35,42,746,41,149,188,Primary visual area layer 5,VISp5,08858C,147.63528,-691.39512,0.21353243,0.47,51,VIS,0,0.47
ZYE_0007,9/23/2020,1,p1,0,3,200,93,95,1286,1,43,42,698,39,149,188,Primary visual area layer 5,VISp5,08858C,26.26416,-68.41224,0.383910248,0.57,27,VIS,0,0.53
ZYE_0007,9/23/2020,1,p1,0,3,200,98,133,6426,8,15,42,866,45,147,188,Primary visual area layer 5,VISp5,08858C,33.56496,-99.15984,0.338493487,0.63,49,VIS,0,0.63
ZYE_0007,9/23/2020,1,p1,0,3,200,99,208,329,1,6,42,920,47,146,188,Primary visual area layer 6a,VISp6a,08858C,59.52726,-148.73274,0.400229701,0.87,64,VIS,0,0.87
ZYE_0007,9/23/2020,1,p1,0,3,200,101,520,502,1,18,41,848,45,147,188,Primary visual area layer 5,VISp5,08858C,105.91308,-413.68392,0.256024165,0.57,114,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,3,200,103,264,2146,1,24,41,812,43,148,188,Primary visual area layer 5,VISp5,08858C,74.78406,-188.98074,0.395723183,0.53,82,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,3,200,107,206,648,8,23,42,818,43,148,188,Primary visual area layer 5,VISp5,08858C,68.7609,-137.1591,0.501322187,0.2,55,VIS,0,0.2
ZYE_0007,9/23/2020,1,p1,0,3,200,108,252,2777,2,18,42,848,45,147,188,Primary visual area layer 5,VISp5,08858C,60.96636,-190.93464,0.319304868,0.63,79,VIS,0,0.63
ZYE_0007,9/23/2020,1,p1,0,3,200,110,166,1133,1,32,42,764,41,149,188,Primary visual area layer 5,VISp5,08858C,51.81228,-114.63192,0.451988242,0.53,52,VIS,0,0.53
ZYE_0007,9/23/2020,1,p1,0,3,200,114,770,401,3,35,43,746,41,149,188,Primary visual area layer 5,VISp5,08858C,132.16086,-638.28414,0.207056469,0.43,52,VIS,0,0.43
ZYE_0007,9/23/2020,1,p1,0,3,200,115,101,2311,8,36,42,740,40,149,188,Primary visual area layer 5,VISp5,08858C,35.50482,-65.02158,0.546046712,0.37,28,VIS,0,0.4
ZYE_0007,9/23/2020,1,p1,0,3,200,119,71,2316,3,44,42,692,39,150,188,Primary visual area layer 5,VISp5,08858C,18.00864,-53.33796,0.33763271,0.47,24,VIS,0,0.47
ZYE_0007,9/23/2020,1,p1,0,3,200,121,243,2312,3,6,42,920,47,146,188,Primary visual area layer 6a,VISp6a,08858C,64.91628,-178.11612,0.364460443,0.63,73,VIS,0,0.63
ZYE_0007,9/23/2020,1,p1,0,3,200,122,272,3053,3,19,42,842,44,147,188,Primary visual area layer 5,VISp5,08858C,73.09458,-199.32822,0.366704624,0.6,79,VIS,0,0.63
ZYE_0007,9/23/2020,1,p1,0,3,200,125,250,426,8,23,42,818,43,148,188,Primary visual area layer 5,VISp5,08858C,62.19954,-187.57206,0.331603438,0.5,93,VIS,0,0.5
ZYE_0007,9/23/2020,1,p1,0,3,200,128,498,862,3,35,42,746,41,149,188,Primary visual area layer 5,VISp5,08858C,85.8078,-412.3314,0.208103967,0.7,46,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,3,200,131,173,2759,1,6,43,920,47,146,188,Primary visual area layer 6a,VISp6a,08858C,74.25054,-98.74566,0.75193725,-0.23,122,VIS,0,0.73
ZYE_0007,9/23/2020,1,p1,0,3,200,133,122,3458,3,9,41,902,47,146,188,Primary visual area layer 6a,VISp6a,08858C,28.70946,-93.43854,0.307255015,0.6,96,VIS,0,0.6
ZYE_0007,9/23/2020,1,p1,0,3,200,139,134,375,8,11,41,890,46,147,188,Primary visual area layer 6a,VISp6a,08858C,46.65726,-86.98014,0.536412795,0.77,39,VIS,0,0.73
ZYE_0007,9/23/2020,1,p1,0,3,200,140,147,665,8,11,42,890,46,147,188,Primary visual area layer 6a,VISp6a,08858C,41.12082,-105.76098,0.388808992,0.57,40,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,3,200,141,264,4740,1,16,42,860,45,147,188,Primary visual area layer 5,VISp5,08858C,76.86666,-187.45974,0.410043565,0.67,62,VIS,0,0.7
ZYE_0007,9/23/2020,1,p1,0,3,200,142,227,1093,1,25,42,806,43,148,188,Primary visual area layer 5,VISp5,08858C,67.02462,-159.74478,0.419573147,0.53,92,VIS,0,0.53
ZYE_0007,9/23/2020,1,p1,0,3,200,143,377,592,1,31,42,770,41,149,188,Primary visual area layer 5,VISp5,08858C,101.01312,-276.24168,0.365669366,0.57,71,VIS,0,0.53
ZYE_0007,9/23/2020,1,p1,0,3,200,150,276,472,4,13,44,878,46,147,188,Primary visual area layer 6a,VISp6a,08858C,59.52024,-216.76356,0.274586005,0.6,106,VIS,0,0.57
ZYE_0007,9/23/2020,1,p1,0,4,200,17,91,954,1,48,41,918,47,146,188,Primary visual area layer 6a,VISp6a,08858C,17.95482,-73.32858,0.244854326,0.67,36,VIS,0,0.67
ZYE_0007,9/23/2020,1,p1,0,5,200,4,401,283,8,5,42,1426,65,138,188,corpus callosum,cc,CCCCCC,85.71888,-314.86572,0.27223948,0.6,97,cc,0,0.63
ZYE_0007,9/23/2020,1,p1,0,5,200,5,208,706,1,8,42,1408,65,138,188,corpus callosum,cc,CCCCCC,40.02336,-167.65164,0.238729308,0.77,59,cc,0,0.77
ZYE_0007,9/23/2020,1,p1,0,5,200,6,85,16182,1,13,42,1378,64,139,188,corpus callosum,cc,CCCCCC,32.65236,-52.05564,0.627258833,0.37,42,cc,0,0.43
ZYE_0007,9/23/2020,1,p1,0,5,200,18,80,3253,1,2,41,1444,66,138,188,dorsal hippocampal commissure,dhc,CCCCCC,25.34922,-55.12338,0.45986331,0.6,32,dhc,0,0.6
ZYE_0007,9/23/2020,1,p1,0,5,200,26,98,1313,1,10,42,1396,64,139,188,corpus callosum,cc,CCCCCC,30.76632,-67.60728,0.455074069,0.37,43,cc,0,0.37
ZYE_0007,9/23/2020,1,p1,0,5,200,28,80,1519,8,22,36,1324,62,140,188,corpus callosum,cc,CCCCCC,23.4,-56.3238,0.415454923,0.6,25,cc,0,0.6
ZYE_0007,9/23/2020,1,p1,0,5,200,33,87,825,8,1,41,1450,66,138,188,dorsal hippocampal commissure,dhc,CCCCCC,20.97342,-66.19158,0.316859335,0.97,47,dhc,0,0.8
ZYE_0007,9/23/2020,1,p1,0,6,200,6,294,16993,1,19,42,1592,72,136,188,Subiculum,SUB,4FC244,76.18104,-217.39536,0.350426246,0.53,55,SUB,0,0.53
ZYE_0007,9/23/2020,1,p1,0,6,200,7,582,457,8,19,40,1592,72,136,188,Subiculum,SUB,4FC244,122.68152,-459.55728,0.266955884,0.57,60,SUB,0,0.57
ZYE_0007,9/23/2020,1,p1,0,6,200,10,247,8644,6,31,42,1520,69,137,188,Subiculum,SUB,4FC244,70.69374,-176.73786,0.399992056,0.67,60,SUB,0,0.67
ZYE_0007,9/23/2020,1,p1,0,6,200,17,174,459,8,33,42,1508,69,137,188,Subiculum,SUB,4FC244,37.50786,-136.70514,0.274370517,0.83,46,SUB,0,0.73
ZYE_0007,9/23/2020,1,p1,0,6,200,19,200,475,1,34,42,1502,68,137,188,dorsal hippocampal commissure,dhc,CCCCCC,46.7181,-153.1647,0.305018715,0.8,49,dhc,0,0.8
ZYE_0007,9/23/2020,1,p1,0,6,200,20,112,5960,1,34,42,1502,68,137,188,dorsal hippocampal commissure,dhc,CCCCCC,79.83612,-32.55408,2.452415181,-0.27,25,dhc,0,0.4
ZYE_0007,9/23/2020,1,p1,0,6,200,22,235,996,1,36,41,1490,68,137,188,dorsal hippocampal commissure,dhc,CCCCCC,72.5166,-162.7002,0.445706889,0.7,73,dhc,0,0.7
ZYE_0007,9/23/2020,1,p1,0,6,200,24,144,20435,1,41,41,1460,67,137,188,dorsal hippocampal commissure,dhc,CCCCCC,38.79018,-105.07302,0.369173552,0.73,34,dhc,0,0.7
ZYE_0007,9/23/2020,1,p1,0,6,200,26,346,5550,3,47,42,1424,65,138,188,corpus callosum,cc,CCCCCC,90.96516,-255.37824,0.356197772,0.6,37,cc,0,0.6
ZYE_0007,9/23/2020,1,p1,0,6,200,27,730,886,4,48,42,1418,65,138,188,corpus callosum,cc,CCCCCC,218.1582,-511.3602,0.426623347,0.63,67,cc,0,0.63
ZYE_0007,9/23/2020,1,p1,0,6,200,32,88,17162,2,14,42,1622,73,135,188,Subiculum,SUB,4FC244,27.2259,-60.7347,0.448275862,0.53,48,SUB,0,0.53
ZYE_0007,9/23/2020,1,p1,0,6,200,34,164,3013,8,24,41,1562,71,136,188,Subiculum,SUB,4FC244,27.9396,-136.0476,0.205366357,0.27,21,SUB,0,0.27
ZYE_0007,9/23/2020,1,p1,0,6,200,37,158,478,1,45,42,1436,66,138,188,dorsal hippocampal commissure,dhc,CCCCCC,43.06536,-114.95484,0.374628506,0.7,63,dhc,0,0.7
ZYE_0007,9/23/2020,1,p1,0,6,200,39,126,490,1,38,41,1478,67,137,188,dorsal hippocampal commissure,dhc,CCCCCC,40.06314,-85.68846,0.467544171,0.7,65,dhc,0,0.7
ZYE_0007,9/23/2020,1,p1,0,6,200,40,152,4480,1,41,41,1460,67,137,188,dorsal hippocampal commissure,dhc,CCCCCC,47.9232,-104.2002,0.459914664,0.77,59,dhc,0,0.77
ZYE_0007,9/23/2020,1,p1,1,1,335,1,56,10807,7,1,41,585,74,165,371,Primary motor area Layer 5,MOp5,1F9D5A,11.50578,-44.16282,0.260530917,1.17,31,MO,0,1.13
ZYE_0007,9/23/2020,1,p1,1,1,335,2,251,686,6,2,42,579,74,165,371,Primary motor area Layer 5,MOp5,1F9D5A,86.73444,-164.13696,0.528427235,0.2,56,MO,0,0.2
ZYE_0007,9/23/2020,1,p1,1,1,335,3,91,2157,8,9,42,537,72,165,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,21.14658,-70.27722,0.300902341,0.83,46,MO,0,0.77
ZYE_0007,9/23/2020,1,p1,1,1,335,4,76,6256,5,13,41,513,71,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,18.89316,-56.78244,0.332728921,0.9,28,MO,0,0.9
ZYE_0007,9/23/2020,1,p1,1,1,335,6,54,7367,8,14,41,507,71,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,18.0999,-35.9541,0.503416856,0.9,16,MO,0,0.9
ZYE_0007,9/23/2020,1,p1,1,1,335,9,103,3465,8,19,41,477,70,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,32.23116,-70.68204,0.456002119,0.77,39,MO,0,0.8
ZYE_0007,9/23/2020,1,p1,1,1,335,10,110,2368,8,19,42,477,70,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,31.01436,-79.22304,0.391481569,0.27,27,MO,0,0.27
ZYE_0007,9/23/2020,1,p1,1,1,335,14,149,503,8,38,43,363,65,166,373,Primary motor area Layer 2/3,MOp2/3,1F9D5A,42.08022,-107.37558,0.391897487,0.9,55,MO,0,0.9
ZYE_0007,9/23/2020,1,p1,1,1,335,17,228,2924,8,42,41,339,64,166,373,Primary motor area Layer 2/3,MOp2/3,1F9D5A,69.2874,-159.1434,0.43537715,0.8,58,MO,0,0.83
ZYE_0007,9/23/2020,1,p1,1,1,335,18,83,5241,1,43,43,333,64,166,373,Primary motor area Layer 2/3,MOp2/3,1F9D5A,22.28382,-60.99678,0.365327809,0.9,56,MO,0,0.77
ZYE_0007,9/23/2020,1,p1,1,1,335,23,40,4531,8,7,42,549,73,165,371,Primary motor area Layer 5,MOp5,1F9D5A,12.84426,-26.79534,0.479346782,0.9,9,MO,0,0.93
ZYE_0007,9/23/2020,1,p1,1,1,335,25,97,828,1,27,39,429,68,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,27.42948,-69.98472,0.391935268,0.83,44,MO,0,0.77
ZYE_0007,9/23/2020,1,p1,1,1,335,26,46,10866,1,29,40,417,67,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,14.52204,-31.22496,0.465077938,1,9,MO,0,1
ZYE_0007,9/23/2020,1,p1,1,1,335,27,71,381,2,36,42,375,66,166,373,Primary motor area Layer 2/3,MOp2/3,1F9D5A,24.56064,-46.59876,0.527066385,0.73,60,MO,0,0.73
ZYE_0007,9/23/2020,1,p1,1,1,335,28,79,4522,3,42,46,339,64,166,373,Primary motor area Layer 2/3,MOp2/3,1F9D5A,19.8783,-59.0733,0.336502278,0.83,62,MO,0,0.87
ZYE_0007,9/23/2020,1,p1,1,1,335,31,52,8330,1,27,40,429,68,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,16.0875,-35.7435,0.450081833,0.97,23,MO,0,0.97
ZYE_0007,9/23/2020,1,p1,1,1,335,32,78,1570,8,36,42,375,66,166,373,Primary motor area Layer 2/3,MOp2/3,1F9D5A,25.22754,-52.78806,0.477902389,0.63,57,MO,0,0.6
ZYE_0007,9/23/2020,1,p1,1,1,335,34,64,992,1,36,42,375,66,166,373,Primary motor area Layer 2/3,MOp2/3,1F9D5A,23.95458,-40.34862,0.593690193,0.63,42,MO,0,0.63
ZYE_0007,9/23/2020,1,p1,1,1,335,37,222,352,1,22,41,459,69,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,57.5406,-163.9638,0.35093478,0.93,63,MO,0,0.93
ZYE_0007,9/23/2020,1,p1,1,1,335,39,82,1189,1,16,42,495,71,166,372,Primary motor area Layer 2/3,MOp2/3,1F9D5A,24.55596,-57.76524,0.425099247,0.67,44,MO,0,0.67
ZYE_0007,9/23/2020,1,p1,1,2,335,3,100,4929,4,5,42,811,83,164,370,Primary motor area Layer 5,MOp5,1F9D5A,22.96944,-76.76136,0.299231801,0.27,11,MO,0,0.27
ZYE_0007,9/23/2020,1,p1,1,2,335,4,462,2211,8,7,42,799,83,164,370,Primary motor area Layer 5,MOp5,1F9D5A,129.31308,-332.25192,0.389201904,0.7,70,MO,0,0.7
ZYE_0007,9/23/2020,1,p1,1,2,335,5,534,114,7,6,42,805,83,164,370,Primary motor area Layer 5,MOp5,1F9D5A,135.42048,-398.28672,0.34000752,0.7,72,MO,0,0.7
ZYE_0007,9/23/2020,1,p1,1,2,335,7,89,35206,8,13,43,763,81,165,370,Primary motor area Layer 5,MOp5,1F9D5A,20.6505,-68.1057,0.303212506,0.67,25,MO,0,0.67
ZYE_0007,9/23/2020,1,p1,1,2,335,9,364,74,8,20,42,721,80,165,370,Primary motor area Layer 5,MOp5,1F9D5A,113.5500811,-250.0037027,0.454193597,0.3,51,MO,0,0.3
ZYE_0007,9/23/2020,1,p1,1,2,335,10,322,1659,8,23,42,703,79,165,371,Primary motor area Layer 5,MOp5,1F9D5A,92.59614,-229.10706,0.404161007,0.33,51,MO,0,0.33
